Date,Product_Name,Category,Quantity_Sold,Selling_Price,Cost_Price,Total_Sales_Value,Promotion_Type,Discount_Percentage,Start_Date,End_Date,HSN_Code,GST_Percentage
01-04-2024,Turban,Hair Accessories,2,507.15,310.06,1016.52,Festival Sale,19,01-04-2024,04-04-2024,96151900,18
01-04-2024,Sports Sunglasses,Sunglasses,1,5139.18,2451.86,5065.42,No Promotion,0,01-04-2024,07-04-2024,90041000,12
01-04-2024,Waist Belt,Belts,1,701.59,632.29,701.9,Flash Sale,39,01-04-2024,08-04-2024,42033000,18
01-04-2024,Round Frame,Sunglasses,6,2044.41,1511.94,12298.26,Flash Sale,38,01-04-2024,02-04-2024,90041000,12
01-04-2024,Charm Bracelet,Jewelry,4,2085.57,1307.97,8333.44,No Promotion,0,01-04-2024,07-04-2024,71131100,3
01-04-2024,Cat Eye Sunglasses,Sunglasses,7,1897.85,1808.32,13348.58,Festival Sale,26,01-04-2024,06-04-2024,90041000,12
01-04-2024,Chain Belt,Belts,3,2535.66,1355.57,7602.3,No Promotion,0,01-04-2024,02-04-2024,42033000,18
01-04-2024,Shoulder Bag,Handbags,5,2640.22,2315.26,13396.5,Seasonal Offer,18,01-04-2024,03-04-2024,42022290,18
01-04-2024,Backpack Purse,Handbags,3,3632.95,3972.5,10698.6,Clearance Sale,53,01-04-2024,02-04-2024,42022290,18
01-04-2024,Digital Watch,Watches,1,1930.91,1614.39,1967.58,Festival Sale,18,01-04-2024,05-04-2024,91021100,18
01-04-2024,Sports Sunglasses,Sunglasses,3,2243.33,1298.87,6734.52,No Promotion,0,01-04-2024,03-04-2024,90041000,12
01-04-2024,Charm Bracelet,Jewelry,2,1723.67,1450.39,3487.8,Seasonal Offer,19,01-04-2024,02-04-2024,71131100,3
01-04-2024,Analog Watch,Watches,1,5133.87,2724.6,5226.19,No Promotion,0,01-04-2024,07-04-2024,91021100,18
01-04-2024,Silk Scarf,Scarves,2,1834.72,933.31,3647.3,No Promotion,0,01-04-2024,05-04-2024,62143000,12
02-04-2024,Aviator Sunglasses,Sunglasses,6,1361.45,1306.26,8013.18,Flash Sale,36,02-04-2024,07-04-2024,90041000,12
02-04-2024,Leather Tote Bag,Handbags,5,1809.38,2110.34,8957.45,Clearance Sale,44,02-04-2024,08-04-2024,42022290,18
02-04-2024,Round Frame,Sunglasses,4,4453.65,2206.29,17991.64,No Promotion,0,02-04-2024,04-04-2024,90041000,12
02-04-2024,Cotton Scarf,Scarves,6,879.27,783.53,5277,Festival Sale,24,02-04-2024,06-04-2024,62143000,12
02-04-2024,Pearl Necklace,Jewelry,5,1376.65,1936.6,7009.5,Clearance Sale,55,02-04-2024,08-04-2024,71131100,3
02-04-2024,Shoulder Bag,Handbags,2,2327.07,1519.73,4648.26,No Promotion,0,02-04-2024,07-04-2024,42022290,18
02-04-2024,Gold Plated Earrings,Jewelry,2,2263.31,1868.35,4600.32,Festival Sale,30,02-04-2024,09-04-2024,71131100,3
02-04-2024,Silk Scarf,Scarves,3,1000.89,738.87,2967.69,Flash Sale,27,02-04-2024,05-04-2024,62143000,12
02-04-2024,Pashmina Shawl,Scarves,4,650.15,785.09,2647.56,Clearance Sale,56,02-04-2024,08-04-2024,62143000,12
02-04-2024,Western Belt,Belts,5,3598.4,1836.89,18352.15,No Promotion,0,02-04-2024,03-04-2024,42033000,18
02-04-2024,Pashmina Shawl,Scarves,2,1765.77,1012.48,3481.2,Festival Sale,20,02-04-2024,09-04-2024,62143000,12
